Lote;Registro Sanitario;RUC ; C¢digo Cliente ; Proveedor ; Raz¢n Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; Nø de Documento ; C¢digo Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracci¢n; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
SM0612-062010;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0142;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062011;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0143;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062012;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0144;UND;;15¦ 25¦ C;1;1;3;0;3;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062013;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0145;UND;;15¦ 25¦ C;1;1;3;0;3;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062014;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0146;UND;;15¦ 25¦ C;1;1;3;0;3;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062015;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0147;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062016;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0148;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062017;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0149;UND;;15¦ 25¦ C;1;1;6;0;6;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062018;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0150;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062019;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0151;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
